# Theoretical transmission filter for J-PLUS filter F395
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 3950
#    W1 (Angstroms): 70
#    FWHM (Angstroms): 100
#    Transmission peak: 0.75
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
3884.1 0.0000 0.0000
3884.2 0.0000 0.0000
3884.3 0.0000 0.0000
3884.4 0.0000 0.0000
3884.5 0.0000 0.0000
3884.6 0.0000 0.0000
3884.7 0.0000 0.0000
3884.8 0.0000 0.0000
3884.9 0.0000 0.0000
3885.0 0.0000 0.0000
3885.1 0.0025 0.0022
3885.2 0.0050 0.0045
3885.3 0.0075 0.0067
3885.4 0.0100 0.0089
3885.5 0.0125 0.0111
3885.6 0.0150 0.0134
3885.7 0.0175 0.0156
3885.8 0.0200 0.0178
3885.9 0.0225 0.0201
3886.0 0.0250 0.0223
3886.1 0.0275 0.0245
3886.2 0.0300 0.0267
3886.3 0.0325 0.0290
3886.4 0.0350 0.0312
3886.5 0.0375 0.0334
3886.6 0.0400 0.0357
3886.7 0.0425 0.0379
3886.8 0.0450 0.0401
3886.9 0.0475 0.0423
3887.0 0.0500 0.0446
3887.1 0.0525 0.0468
3887.2 0.0550 0.0490
3887.3 0.0575 0.0513
3887.4 0.0600 0.0535
3887.5 0.0625 0.0557
3887.6 0.0650 0.0580
3887.7 0.0675 0.0602
3887.8 0.0700 0.0624
3887.9 0.0725 0.0647
3888.0 0.0750 0.0669
3888.1 0.0775 0.0691
3888.2 0.0800 0.0714
3888.3 0.0825 0.0736
3888.4 0.0850 0.0758
3888.5 0.0875 0.0781
3888.6 0.0900 0.0803
3888.7 0.0925 0.0825
3888.8 0.0950 0.0848
3888.9 0.0975 0.0870
3889.0 0.1000 0.0892
3889.1 0.1025 0.0915
3889.2 0.1050 0.0937
3889.3 0.1075 0.0959
3889.4 0.1100 0.0982
3889.5 0.1125 0.1004
3889.6 0.1150 0.1026
3889.7 0.1175 0.1049
3889.8 0.1200 0.1071
3889.9 0.1225 0.1093
3890.0 0.1250 0.1116
3890.1 0.1275 0.1138
3890.2 0.1300 0.1160
3890.3 0.1325 0.1183
3890.4 0.1350 0.1205
3890.5 0.1375 0.1228
3890.6 0.1400 0.1250
3890.7 0.1425 0.1272
3890.8 0.1450 0.1295
3890.9 0.1475 0.1317
3891.0 0.1500 0.1339
3891.1 0.1525 0.1362
3891.2 0.1550 0.1384
3891.3 0.1575 0.1407
3891.4 0.1600 0.1429
3891.5 0.1625 0.1451
3891.6 0.1650 0.1474
3891.7 0.1675 0.1496
3891.8 0.1700 0.1518
3891.9 0.1725 0.1541
3892.0 0.1750 0.1563
3892.1 0.1775 0.1586
3892.2 0.1800 0.1608
3892.3 0.1825 0.1630
3892.4 0.1850 0.1653
3892.5 0.1875 0.1675
3892.6 0.1900 0.1698
3892.7 0.1925 0.1720
3892.8 0.1950 0.1742
3892.9 0.1975 0.1765
3893.0 0.2000 0.1787
3893.1 0.2025 0.1810
3893.2 0.2050 0.1832
3893.3 0.2075 0.1854
3893.4 0.2100 0.1877
3893.5 0.2125 0.1899
3893.6 0.2150 0.1922
3893.7 0.2175 0.1944
3893.8 0.2200 0.1967
3893.9 0.2225 0.1989
3894.0 0.2250 0.2011
3894.1 0.2275 0.2034
3894.2 0.2300 0.2056
3894.3 0.2325 0.2079
3894.4 0.2350 0.2101
3894.5 0.2375 0.2124
3894.6 0.2400 0.2146
3894.7 0.2425 0.2168
3894.8 0.2450 0.2191
3894.9 0.2475 0.2213
