# Theoretical transmission filter for J-PLUS filter F660
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 6600
#    W1 (Angstroms): 100
#    FWHM (Angstroms): 125
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
6524.0 0.0000 0.0000
6524.1 0.0000 0.0000
6524.2 0.0000 0.0000
6524.3 0.0000 0.0000
6524.4 0.0000 0.0000
6524.5 0.0000 0.0000
6524.6 0.0000 0.0000
6524.7 0.0000 0.0000
6524.8 0.0000 0.0000
6524.9 0.0000 0.0000
6525.0 0.0000 0.0000
6525.1 0.0036 0.0031
6525.2 0.0072 0.0062
6525.3 0.0108 0.0093
6525.4 0.0144 0.0124
6525.5 0.0180 0.0155
6525.6 0.0216 0.0186
6525.7 0.0252 0.0216
6525.8 0.0288 0.0247
6525.9 0.0324 0.0278
6526.0 0.0360 0.0309
6526.1 0.0396 0.0340
6526.2 0.0432 0.0371
6526.3 0.0468 0.0402
6526.4 0.0504 0.0433
6526.5 0.0540 0.0464
6526.6 0.0576 0.0495
6526.7 0.0612 0.0526
6526.8 0.0648 0.0557
6526.9 0.0684 0.0588
6527.0 0.0720 0.0618
6527.1 0.0756 0.0649
6527.2 0.0792 0.0680
6527.3 0.0828 0.0711
6527.4 0.0864 0.0742
6527.5 0.0900 0.0773
6527.6 0.0936 0.0804
6527.7 0.0972 0.0835
6527.8 0.1008 0.0866
6527.9 0.1044 0.0897
6528.0 0.1080 0.0928
6528.1 0.1116 0.0959
6528.2 0.1152 0.0989
6528.3 0.1188 0.1020
6528.4 0.1224 0.1051
6528.5 0.1260 0.1082
6528.6 0.1296 0.1113
6528.7 0.1332 0.1144
6528.8 0.1368 0.1175
6528.9 0.1404 0.1206
6529.0 0.1440 0.1237
6529.1 0.1476 0.1268
6529.2 0.1512 0.1299
6529.3 0.1548 0.1329
6529.4 0.1584 0.1360
6529.5 0.1620 0.1391
6529.6 0.1656 0.1422
6529.7 0.1692 0.1453
6529.8 0.1728 0.1484
6529.9 0.1764 0.1515
6530.0 0.1800 0.1546
6530.1 0.1836 0.1577
6530.2 0.1872 0.1608
6530.3 0.1908 0.1639
6530.4 0.1944 0.1669
6530.5 0.1980 0.1700
6530.6 0.2016 0.1731
6530.7 0.2052 0.1762
