# Theoretical transmission filter for J-PLUS filter g_sdss
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 4750
#    W1 (Angstroms): 1250
#    FWHM (Angstroms): 1500
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
3874.1 0.0000 0.0000
3874.2 0.0000 0.0000
3874.3 0.0000 0.0000
3874.4 0.0000 0.0000
3874.5 0.0000 0.0000
3874.6 0.0000 0.0000
3874.7 0.0000 0.0000
3874.8 0.0000 0.0000
3874.9 0.0000 0.0000
3875.0 0.0000 0.0000
3875.1 0.0004 0.0003
3875.2 0.0007 0.0006
3875.3 0.0011 0.0010
3875.4 0.0014 0.0013
3875.5 0.0018 0.0016
3875.6 0.0022 0.0019
3875.7 0.0025 0.0022
3875.8 0.0029 0.0026
3875.9 0.0032 0.0029
3876.0 0.0036 0.0032
3876.1 0.0040 0.0035
3876.2 0.0043 0.0038
3876.3 0.0047 0.0042
3876.4 0.0050 0.0045
3876.5 0.0054 0.0048
3876.6 0.0058 0.0051
3876.7 0.0061 0.0054
3876.8 0.0065 0.0058
3876.9 0.0068 0.0061
3877.0 0.0072 0.0064
3877.1 0.0076 0.0067
3877.2 0.0079 0.0070
3877.3 0.0083 0.0074
3877.4 0.0086 0.0077
3877.5 0.0090 0.0080
3877.6 0.0094 0.0083
3877.7 0.0097 0.0086
3877.8 0.0101 0.0090
3877.9 0.0104 0.0093
3878.0 0.0108 0.0096
3878.1 0.0112 0.0099
3878.2 0.0115 0.0102
3878.3 0.0119 0.0106
3878.4 0.0122 0.0109
3878.5 0.0126 0.0112
3878.6 0.0130 0.0115
3878.7 0.0133 0.0118
3878.8 0.0137 0.0122
3878.9 0.0140 0.0125
3879.0 0.0144 0.0128
3879.1 0.0148 0.0131
3879.2 0.0151 0.0134
3879.3 0.0155 0.0138
3879.4 0.0158 0.0141
3879.5 0.0162 0.0144
3879.6 0.0166 0.0147
3879.7 0.0169 0.0150
3879.8 0.0173 0.0154
3879.9 0.0176 0.0157
3880.0 0.0180 0.0160
3880.1 0.0184 0.0163
3880.2 0.0187 0.0166
3880.3 0.0191 0.0170
3880.4 0.0194 0.0173
3880.5 0.0198 0.0176
3880.6 0.0202 0.0179
3880.7 0.0205 0.0183
3880.8 0.0209 0.0186
3880.9 0.0212 0.0189
3881.0 0.0216 0.0192
3881.1 0.0220 0.0195
3881.2 0.0223 0.0199
3881.3 0.0227 0.0202
3881.4 0.0230 0.0205
3881.5 0.0234 0.0208
3881.6 0.0238 0.0211
3881.7 0.0241 0.0215
3881.8 0.0245 0.0218
3881.9 0.0248 0.0221
3882.0 0.0252 0.0224
3882.1 0.0256 0.0227
3882.2 0.0259 0.0231
3882.3 0.0263 0.0234
3882.4 0.0266 0.0237
3882.5 0.0270 0.0240
3882.6 0.0274 0.0244
3882.7 0.0277 0.0247
3882.8 0.0281 0.0250
3882.9 0.0284 0.0253
3883.0 0.0288 0.0256
3883.1 0.0292 0.0260
3883.2 0.0295 0.0263
3883.3 0.0299 0.0266
