# Theoretical transmission filter for J-PLUS filter i_sdss
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 7725
#    W1 (Angstroms): 1250
#    FWHM (Angstroms): 1550
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
6799.0 0.0000 0.0000
6799.1 0.0000 0.0000
6799.2 0.0000 0.0000
6799.3 0.0000 0.0000
6799.4 0.0000 0.0000
6799.5 0.0000 0.0000
6799.6 0.0000 0.0000
6799.7 0.0000 0.0000
6799.8 0.0000 0.0000
6799.9 0.0000 0.0000
6800.0 0.0000 0.0000
6800.1 0.0003 0.0003
6800.2 0.0006 0.0005
6800.3 0.0009 0.0008
6800.4 0.0012 0.0010
6800.5 0.0015 0.0013
6800.6 0.0018 0.0015
6800.7 0.0021 0.0018
6800.8 0.0024 0.0020
6800.9 0.0027 0.0023
6801.0 0.0030 0.0025
6801.1 0.0033 0.0028
6801.2 0.0036 0.0031
6801.3 0.0039 0.0033
6801.4 0.0042 0.0036
6801.5 0.0045 0.0038
6801.6 0.0048 0.0041
6801.7 0.0051 0.0043
6801.8 0.0054 0.0046
6801.9 0.0057 0.0048
6802.0 0.0060 0.0051
6802.1 0.0063 0.0053
6802.2 0.0066 0.0056
6802.3 0.0069 0.0059
6802.4 0.0072 0.0061
6802.5 0.0075 0.0064
6802.6 0.0078 0.0066
6802.7 0.0081 0.0069
6802.8 0.0084 0.0071
6802.9 0.0087 0.0074
6803.0 0.0090 0.0076
6803.1 0.0093 0.0079
6803.2 0.0096 0.0081
6803.3 0.0099 0.0084
6803.4 0.0102 0.0086
6803.5 0.0105 0.0089
6803.6 0.0108 0.0092
6803.7 0.0111 0.0094
6803.8 0.0114 0.0097
6803.9 0.0117 0.0099
6804.0 0.0120 0.0102
6804.1 0.0123 0.0104
6804.2 0.0126 0.0107
6804.3 0.0129 0.0109
6804.4 0.0132 0.0112
6804.5 0.0135 0.0114
6804.6 0.0138 0.0117
6804.7 0.0141 0.0120
6804.8 0.0144 0.0122
6804.9 0.0147 0.0125
6805.0 0.0150 0.0127
6805.1 0.0153 0.0130
6805.2 0.0156 0.0132
6805.3 0.0159 0.0135
6805.4 0.0162 0.0137
6805.5 0.0165 0.0140
6805.6 0.0168 0.0142
6805.7 0.0171 0.0145
6805.8 0.0174 0.0148
6805.9 0.0177 0.0150
6806.0 0.0180 0.0153
6806.1 0.0183 0.0155
6806.2 0.0186 0.0158
6806.3 0.0189 0.0160
6806.4 0.0192 0.0163
6806.5 0.0195 0.0165
6806.6 0.0198 0.0168
6806.7 0.0201 0.0170
6806.8 0.0204 0.0173
6806.9 0.0207 0.0175
6807.0 0.0210 0.0178
6807.1 0.0213 0.0181
6807.2 0.0216 0.0183
6807.3 0.0219 0.0186
6807.4 0.0222 0.0188
6807.5 0.0225 0.0191
6807.6 0.0228 0.0193
6807.7 0.0231 0.0196
6807.8 0.0234 0.0198
6807.9 0.0237 0.0201
