# Theoretical transmission filter for J-PLUS filter r_sdss
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 6250
#    W1 (Angstroms): 1250
#    FWHM (Angstroms): 1500
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
5374.0 0.0000 0.0000
5374.1 0.0000 0.0000
5374.2 0.0000 0.0000
5374.3 0.0000 0.0000
5374.4 0.0000 0.0000
5374.5 0.0000 0.0000
5374.6 0.0000 0.0000
5374.7 0.0000 0.0000
5374.8 0.0000 0.0000
5374.9 0.0000 0.0000
5375.0 0.0000 0.0000
5375.1 0.0004 0.0003
5375.2 0.0007 0.0007
5375.3 0.0011 0.0010
5375.4 0.0014 0.0013
5375.5 0.0018 0.0017
5375.6 0.0022 0.0020
5375.7 0.0025 0.0023
5375.8 0.0029 0.0026
5375.9 0.0032 0.0030
5376.0 0.0036 0.0033
5376.1 0.0040 0.0036
5376.2 0.0043 0.0040
5376.3 0.0047 0.0043
5376.4 0.0050 0.0046
5376.5 0.0054 0.0050
5376.6 0.0058 0.0053
5376.7 0.0061 0.0056
5376.8 0.0065 0.0060
5376.9 0.0068 0.0063
5377.0 0.0072 0.0066
5377.1 0.0076 0.0070
5377.2 0.0079 0.0073
5377.3 0.0083 0.0076
5377.4 0.0086 0.0079
5377.5 0.0090 0.0083
5377.6 0.0094 0.0086
5377.7 0.0097 0.0089
5377.8 0.0101 0.0093
5377.9 0.0104 0.0096
5378.0 0.0108 0.0099
5378.1 0.0112 0.0103
5378.2 0.0115 0.0106
5378.3 0.0119 0.0109
5378.4 0.0122 0.0113
5378.5 0.0126 0.0116
5378.6 0.0130 0.0119
5378.7 0.0133 0.0123
5378.8 0.0137 0.0126
5378.9 0.0140 0.0129
5379.0 0.0144 0.0132
5379.1 0.0148 0.0136
5379.2 0.0151 0.0139
5379.3 0.0155 0.0142
5379.4 0.0158 0.0146
5379.5 0.0162 0.0149
5379.6 0.0166 0.0152
5379.7 0.0169 0.0156
5379.8 0.0173 0.0159
5379.9 0.0176 0.0162
5380.0 0.0180 0.0166
5380.1 0.0184 0.0169
5380.2 0.0187 0.0172
5380.3 0.0191 0.0176
5380.4 0.0194 0.0179
5380.5 0.0198 0.0182
