# Theoretical transmission filter for J-PLUS filter z_sdss
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 9150
#    W1 (Angstroms): 1300
#    FWHM (Angstroms): 1700
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
8099.0 0.0000 0.0000
8099.1 0.0000 0.0000
8099.2 0.0000 0.0000
8099.3 0.0000 0.0000
8099.4 0.0000 0.0000
8099.5 0.0000 0.0000
8099.6 0.0000 0.0000
8099.7 0.0000 0.0000
8099.8 0.0000 0.0000
8099.9 0.0000 0.0000
8100.0 0.0000 0.0000
8100.1 0.0002 0.0002
8100.2 0.0005 0.0003
8100.3 0.0007 0.0005
8100.4 0.0009 0.0006
8100.5 0.0011 0.0008
8100.6 0.0014 0.0010
8100.7 0.0016 0.0011
8100.8 0.0018 0.0013
8100.9 0.0020 0.0014
8101.0 0.0023 0.0016
8101.1 0.0025 0.0017
8101.2 0.0027 0.0019
8101.3 0.0029 0.0021
8101.4 0.0032 0.0022
8101.5 0.0034 0.0024
8101.6 0.0036 0.0025
8101.7 0.0038 0.0027
8101.8 0.0041 0.0029
8101.9 0.0043 0.0030
8102.0 0.0045 0.0032
8102.1 0.0047 0.0033
8102.2 0.0050 0.0035
8102.3 0.0052 0.0037
8102.4 0.0054 0.0038
8102.5 0.0056 0.0040
8102.6 0.0059 0.0041
8102.7 0.0061 0.0043
8102.8 0.0063 0.0044
8102.9 0.0065 0.0046
8103.0 0.0068 0.0048
8103.1 0.0070 0.0049
8103.2 0.0072 0.0051
8103.3 0.0074 0.0052
8103.4 0.0077 0.0054
8103.5 0.0079 0.0056
8103.6 0.0081 0.0057
8103.7 0.0083 0.0059
8103.8 0.0086 0.0060
8103.9 0.0088 0.0062
8104.0 0.0090 0.0063
8104.1 0.0092 0.0065
8104.2 0.0095 0.0067
8104.3 0.0097 0.0068
8104.4 0.0099 0.0070
8104.5 0.0101 0.0071
8104.6 0.0104 0.0073
8104.7 0.0106 0.0075
8104.8 0.0108 0.0076
8104.9 0.0110 0.0078
8105.0 0.0113 0.0079
8105.1 0.0115 0.0081
8105.2 0.0117 0.0082
8105.3 0.0119 0.0084
8105.4 0.0122 0.0086
8105.5 0.0124 0.0087
8105.6 0.0126 0.0089
8105.7 0.0128 0.0090
8105.8 0.0131 0.0092
8105.9 0.0133 0.0094
8106.0 0.0135 0.0095
8106.1 0.0137 0.0097
8106.2 0.0140 0.0098
8106.3 0.0142 0.0100
8106.4 0.0144 0.0101
8106.5 0.0146 0.0103
8106.6 0.0149 0.0105
8106.7 0.0151 0.0106
8106.8 0.0153 0.0108
8106.9 0.0155 0.0109
8107.0 0.0158 0.0111
8107.1 0.0160 0.0113
8107.2 0.0162 0.0114
8107.3 0.0164 0.0116
8107.4 0.0167 0.0117
8107.5 0.0169 0.0119
8107.6 0.0171 0.0120
8107.7 0.0173 0.0122
8107.8 0.0176 0.0124
8107.9 0.0178 0.0125
8108.0 0.0180 0.0127
8108.1 0.0182 0.0128
8108.2 0.0185 0.0130
8108.3 0.0187 0.0131
