Wavelength_microns Throughput
0.55 4.1933950391705415e-06
0.551 4.794296947072668e-06
0.552 5.442201444133248e-06
0.553 6.24278913526349e-06
0.554 7.117114889848667e-06
0.555 7.95418389664056e-06
0.556 8.251898654262424e-06
0.557 8.334302366168104e-06
0.558 6.9874165214965175e-06
0.559 4.775111661953341e-06
0.56 5.143134979098094e-06
0.561 5.841824267241019e-06
0.562 5.43747302333649e-06
0.563 5.068861111879365e-06
0.564 5.725846147296323e-06
0.565 6.511206788985142e-06
0.566 7.126351632806226e-06
0.567 7.146121425891309e-06
0.568 7.415978943927293e-06
0.569 7.68592985101481e-06
0.57 7.499733582104829e-06
0.571 7.823045148834645e-06
0.572 9.182563185921265e-06
0.573 1.0821071049496344e-05
0.574 1.1603969187682335e-05
0.575 1.2777987032057205e-05
0.576 1.5204119927305198e-05
0.577 1.723856829198089e-05
0.578 1.7920472317208376e-05
0.579 1.858397600174648e-05
0.58 2.058310360438138e-05
0.581 2.5375617265274e-05
0.582 3.4211027783314184e-05
0.583 5.097893803196419e-05
0.584 8.993103237958251e-05
0.585 0.0001826133785138271
0.586 0.0003345097446092051
0.587 0.00044452587728795715
0.588 0.00041189981970772517
0.589 0.0002670899878745699
0.59 0.00013991233475890455
0.591 7.81268916984973e-05
0.592 5.398341066418856e-05
0.593 4.098722604910949e-05
0.594 3.375290408964217e-05
0.595 3.2664455946913076e-05
0.596 3.0261639394143e-05
0.597 3.074895628265822e-05
0.598 3.306511621075427e-05
0.599 3.40842524754815e-05
0.6 3.665747810374128e-05
0.601 4.096169233273797e-05
0.602 4.777065581626115e-05
0.603 5.844039061980772e-05
0.604 7.13214330799436e-05
0.605 8.305750230772283e-05
0.606 9.5691400987785e-05
0.607 0.0001071952496905876
0.608 0.0001106402796264994
0.609 0.00010719072007765654
0.61 9.909115483762939e-05
0.611 8.781212866308685e-05
0.612 7.451351357796618e-05
0.613 6.342851520931022e-05
0.614 5.442738953916185e-05
0.615 4.899639024706135e-05
0.616 4.4494649656032e-05
0.617 4.201568341550852e-05
0.618 4.158134700918995e-05
0.619 3.8876898802541906e-05
0.62 3.6246086978114765e-05
0.621 3.458954992586259e-05
0.622 3.871848716598838e-05
0.623 4.166682988296024e-05
0.624 4.649588721602304e-05
0.625 5.542107266904821e-05
0.626 6.858628014118026e-05
0.627 8.969196436285385e-05
0.628 0.00012592962100583128
0.629 0.00018546668744988287
0.63 0.0002771509632669148
0.631 0.0003920068549354472
0.632 0.00047694599785226034
0.633 0.00048230792326151706
0.634 0.00041082221147167327
0.635 0.0003193987410361372
0.636 0.00024821229671488946
0.637 0.0002070395769164628
0.638 0.00018653399531180925
0.639 0.00018060836224177365
0.64 0.00019090938243732344
0.641 0.00021126267418843943
0.642 0.00024047701743459355
0.643 0.0002709489331882364
0.644 0.00029575902523509037
0.645 0.000299544320182473
0.646 0.0002733752829320159
0.647 0.00022818278572209137
0.648 0.00017890728489540857
0.649 0.00014220669610530632
0.65 0.00011571996801059042
0.651 9.541021251356139e-05
0.652 8.247544940110532e-05
0.653 7.950140880082338e-05
0.654 7.870984671308317e-05
0.655 8.111257381980765e-05
0.656 8.776274931280041e-05
0.657 0.00010315185949337167
0.658 0.00012167425922492594
0.659 0.0001466220707628334
0.66 0.0001768592064523149
0.661 0.00020778457740222022
