#wave   v       b       w       x
0.35000 0.00300 0.00097 0.00060 0.00041
0.35646 0.00300 0.00097 0.00060 0.00041
0.36293 0.00300 0.00097 0.00060 0.00041
0.36939 0.00300 0.00097 0.00060 0.00041
0.37586 0.00300 0.00097 0.00060 0.00041
0.38232 0.00300 0.00097 0.00060 0.00041
0.38879 0.00300 0.00097 0.00060 0.00041
0.39525 0.00300 0.00097 0.00060 0.00041
0.40172 0.00300 0.00097 0.00060 0.00041
0.40818 0.00300 0.00097 0.00060 0.00041
0.41465 0.00300 0.00097 0.00060 0.00041
0.42111 0.00300 0.00097 0.00060 0.00041
0.42758 0.00300 0.00097 0.00060 0.00041
0.43404 0.00300 0.00097 0.00060 0.00041
0.44051 0.00300 0.98880 0.00060 0.00041
0.44697 0.00300 0.99887 0.00060 0.00041
0.45343 0.00300 1.00000 0.00060 0.00041
0.45990 0.00300 1.00000 0.00060 0.00041
0.46636 0.00305 1.00000 0.00060 0.00041
0.47283 0.00356 1.00000 0.00060 0.00041
0.47929 0.00440 1.00000 0.00060 0.00041
0.48576 0.00476 0.99931 0.00060 0.00041
0.49222 0.00387 0.99583 0.00060 0.00041
0.49869 0.00313 0.97832 0.00060 0.00041
0.50515 0.00300 0.01771 0.00060 0.00041
0.51162 0.00333 0.00637 0.00060 0.00041
0.51808 0.02571 0.00171 0.00060 0.00041
0.52455 0.90991 0.00026 0.00060 0.00041
0.53101 0.99561 0.00019 0.00060 0.00041
0.53747 0.99400 0.00019 0.00060 0.00041
0.54394 0.99400 0.00040 0.00060 0.00041
0.55040 0.99571 0.00156 0.00060 0.00041
0.55687 0.99425 0.00288 0.00060 0.00041
0.56333 0.99200 0.00384 0.00060 0.00041
0.56980 0.99335 0.00400 0.00060 0.00041
0.57626 0.76121 0.00400 0.00060 0.00041
0.58273 0.03601 0.00400 0.00060 0.00041
0.58919 0.00088 0.00400 0.00060 0.00041
0.59566 0.00044 0.00400 0.00060 0.00041
0.60212 0.00044 0.00400 0.00060 0.00041
0.60859 0.00044 0.00400 0.00060 0.00041
0.61505 0.00044 0.00400 0.00009 0.00041
0.62152 0.00044 0.00400 0.00097 0.00041
0.62798 0.00044 0.00400 0.00185 0.00041
0.63444 0.00044 0.00400 0.00273 0.00041
0.64091 0.00044 0.00400 0.00300 0.00041
0.64737 0.00044 0.00400 0.00300 0.00041
0.65384 0.00044 0.00400 0.00300 0.00041
0.66030 0.00043 0.00400 0.00271 0.00041
0.66677 0.00031 0.00400 0.00651 0.00041
0.67323 0.00016 0.00400 0.40189 0.00041
0.67970 0.00045 0.00400 0.96264 0.00041
0.68616 0.00047 0.00400 0.99291 0.00041
0.69263 0.00047 0.00400 0.99456 0.00041
0.69909 0.00047 0.00400 0.99500 0.00041
0.70556 0.00047 0.00400 0.99500 0.00041
0.71202 0.00047 0.00400 0.99500 0.00041
0.71848 0.00047 0.00400 0.99500 0.00041
0.72495 0.00047 0.00400 0.99500 0.00041
0.73141 0.00047 0.00400 0.80669 0.00059
0.73788 0.00047 0.00400 0.15216 0.00097
0.74434 0.00047 0.00400 0.00569 0.00136
0.75081 0.00047 0.00400 0.00100 0.00175
0.75727 0.00047 0.00400 0.00100 0.00200
0.76374 0.00047 0.00400 0.00100 0.00200
0.77020 0.00047 0.00400 0.00100 0.00200
0.77667 0.00047 0.00400 0.00100 0.00207
0.78313 0.00047 0.00400 0.00100 0.00241
0.78960 0.00047 0.00400 0.00100 0.00281
0.79606 0.00047 0.00400 0.00100 0.01713
0.80253 0.00047 0.00400 0.00100 0.07484
0.80899 0.00047 0.00400 0.00100 0.66961
0.81545 0.00047 0.00400 0.00106 0.98942
0.82192 0.00047 0.00400 0.00140 0.98073
0.82838 0.00047 0.00400 0.00173 0.98813
0.83485 0.00047 0.00400 0.00181 0.99487
0.84131 0.00047 0.00400 0.00181 0.99304
0.84778 0.00047 0.00400 0.00181 0.98293
0.85424 0.00047 0.00400 0.00181 0.97570
0.86071 0.00047 0.00400 0.00181 0.97624
0.86717 0.00047 0.00400 0.00181 0.98473
0.87364 0.00047 0.00400 0.00181 0.99345
0.88010 0.00047 0.00400 0.00181 0.98878
0.88657 0.00047 0.00400 0.00181 0.93611
0.89303 0.00047 0.00400 0.00181 0.47072
0.89949 0.00047 0.00400 0.00181 0.04227
0.90596 0.00047 0.00400 0.00181 0.00586
0.91242 0.00047 0.00400 0.00181 0.00383
0.91889 0.00047 0.00400 0.00181 0.00339
0.92535 0.00047 0.00400 0.00181 0.00300
0.93182 0.00047 0.00400 0.00181 0.00300
0.93828 0.00047 0.00400 0.00181 0.00300
0.94475 0.00047 0.00400 0.00181 0.00300
0.95121 0.00047 0.00400 0.00181 0.00300
0.95768 0.00047 0.00400 0.00181 0.00300
0.96414 0.00047 0.00400 0.00181 0.00300
0.97061 0.00047 0.00400 0.00181 0.00300
0.97707 0.00047 0.00400 0.00181 0.00300
0.98354 0.00047 0.00400 0.00181 0.00300
0.99000 0.00047 0.00400 0.00181 0.00300
