#wave      u        g       r       i     z
0.29800 0.00000 0.00000 0.00000 0.00000 0.00000
0.30215 0.00036 0.00000 0.00000 0.00000 0.00000
0.30629 0.00171 0.00000 0.00000 0.00000 0.00000
0.31044 0.00513 0.00000 0.00000 0.00000 0.00000
0.31458 0.01361 0.00000 0.00000 0.00000 0.00000
0.31873 0.02642 0.00000 0.00000 0.00000 0.00000
0.32287 0.04009 0.00000 0.00000 0.00000 0.00000
0.32702 0.05312 0.00000 0.00000 0.00000 0.00000
0.33117 0.06516 0.00000 0.00000 0.00000 0.00000
0.33531 0.07518 0.00000 0.00000 0.00000 0.00000
0.33946 0.08292 0.00000 0.00000 0.00000 0.00000
0.34360 0.08912 0.00000 0.00000 0.00000 0.00000
0.34775 0.09548 0.00000 0.00000 0.00000 0.00000
0.35189 0.10166 0.00000 0.00000 0.00000 0.00000
0.35604 0.10459 0.00000 0.00000 0.00000 0.00000
0.36019 0.10617 0.00000 0.00000 0.00000 0.00000
0.36433 0.10803 0.00016 0.00000 0.00000 0.00000
0.36848 0.10802 0.00090 0.00000 0.00000 0.00000
0.37262 0.10300 0.00181 0.00000 0.00000 0.00000
0.37677 0.09259 0.00291 0.00000 0.00000 0.00000
0.38091 0.07679 0.00630 0.00000 0.00000 0.00000
0.38506 0.05706 0.01780 0.00000 0.00000 0.00000
0.38921 0.03431 0.04061 0.00000 0.00000 0.00000
0.39335 0.01352 0.07161 0.00000 0.00000 0.00000
0.39750 0.00486 0.10782 0.00000 0.00000 0.00000
0.40164 0.00165 0.14348 0.00000 0.00000 0.00000
0.40579 0.00058 0.17395 0.00000 0.00000 0.00000
0.40993 0.00025 0.19736 0.00000 0.00000 0.00000
0.41408 0.00000 0.21584 0.00000 0.00000 0.00000
0.41823 0.00000 0.23080 0.00000 0.00000 0.00000
0.42237 0.00000 0.24304 0.00000 0.00000 0.00000
0.42652 0.00000 0.25378 0.00000 0.00000 0.00000
0.43066 0.00000 0.26368 0.00000 0.00000 0.00000
0.43481 0.00000 0.27315 0.00000 0.00000 0.00000
0.43895 0.00000 0.28205 0.00000 0.00000 0.00000
0.44310 0.00000 0.29006 0.00000 0.00000 0.00000
0.44725 0.00000 0.29672 0.00000 0.00000 0.00000
0.45139 0.00000 0.30299 0.00000 0.00000 0.00000
0.45554 0.00000 0.30977 0.00000 0.00000 0.00000
0.45968 0.00000 0.31700 0.00000 0.00000 0.00000
0.46383 0.00000 0.32349 0.00000 0.00000 0.00000
0.46797 0.00000 0.32837 0.00000 0.00000 0.00000
0.47212 0.00000 0.33200 0.00000 0.00000 0.00000
0.47627 0.00000 0.33515 0.00000 0.00000 0.00000
0.48041 0.00000 0.33823 0.00000 0.00000 0.00000
0.48456 0.00000 0.34167 0.00000 0.00000 0.00000
0.48870 0.00000 0.34548 0.00000 0.00000 0.00000
0.49285 0.00000 0.34936 0.00000 0.00000 0.00000
0.49699 0.00000 0.35322 0.00000 0.00000 0.00000
0.50114 0.00000 0.35669 0.00000 0.00000 0.00000
0.50529 0.00000 0.35956 0.00000 0.00000 0.00000
0.50943 0.00000 0.36113 0.00000 0.00000 0.00000
0.51358 0.00000 0.36058 0.00000 0.00000 0.00000
0.51772 0.00000 0.35825 0.00000 0.00000 0.00000
0.52187 0.00000 0.34999 0.00000 0.00000 0.00000
0.52602 0.00000 0.31143 0.00000 0.00000 0.00000
0.53016 0.00000 0.24025 0.00000 0.00000 0.00000
0.53431 0.00000 0.15845 0.00000 0.00000 0.00000
0.53845 0.00000 0.08453 0.00025 0.00000 0.00000
0.54260 0.00000 0.03357 0.00853 0.00000 0.00000
0.54674 0.00000 0.01391 0.03774 0.00000 0.00000
0.55089 0.00000 0.00728 0.08660 0.00000 0.00000
0.55504 0.00000 0.00353 0.15434 0.00000 0.00000
0.55918 0.00000 0.00182 0.23112 0.00000 0.00000
0.56333 0.00000 0.00117 0.30209 0.00000 0.00000
0.56747 0.00000 0.00092 0.35493 0.00000 0.00000
0.57162 0.00000 0.00071 0.39127 0.00000 0.00000
0.57576 0.00000 0.00048 0.41582 0.00000 0.00000
0.57991 0.00000 0.00015 0.43141 0.00000 0.00000
0.58406 0.00000 0.00000 0.44165 0.00000 0.00000
0.58820 0.00000 0.00000 0.44921 0.00000 0.00000
0.59235 0.00000 0.00000 0.45536 0.00000 0.00000
0.59649 0.00000 0.00000 0.46129 0.00000 0.00000
0.60064 0.00000 0.00000 0.46663 0.00000 0.00000
0.60478 0.00000 0.00000 0.46990 0.00000 0.00000
0.60893 0.00000 0.00000 0.47132 0.00000 0.00000
0.61308 0.00000 0.00000 0.47275 0.00000 0.00000
